cluster = 10 in ascending order (cluster=0~9),,,,cluster = 20 (cluster labels= 0~19),,,,cluster = 30 (cluster labels= 0~29),,,,cluster = 50 (cluster labels= 0~49),,,
number of n (x-y),number of w (y),tuples,"purity p=max{y,x-y}/x",number of n (x-y),number of w (y),tuples,"purity p=max{y,x-y}/x",number of n (x-y),number of w (y),tuples,"purity p=max{y,x-y}/x",number of n (x-y),number of w (y),tuples,"purity p=max{y,x-y}/x"
738,0,738,,332,0,332,,248,0,248,,84,0,84,
912,21,933,,129,0,129,,248,10,258,,219,1,220,
42,0,42,,455,8,463,,117,7,124,,159,9,168,
916,13,929,,140,9,149,,12,0,12,,5,0,5,
377,0,377,,24,0,24,,64,0,64,,21,0,21,
290,14,303,,473,8,481,,114,9,123,,122,0,122,
254,0,254,,355,15,370,,31,0,31,,87,8,95,
618,27,645,,12,0,12,,320,7,327,,258,1,259,
95,0,95,,113,0,113,,79,0,79,,43,0,43,
23,0,23,,248,0,248,,155,0,155,,37,0,37,
,,,,93,0,93,,296,0,296,,35,0,35,
,,,,429,0,429,,19,0,19,,14,0,14,
,,,,418,13,431,,12,0,12,,4,0,4,
,,,,34,0,34,,45,0,45,,199,2,201,
,,,,170,3,173,,221,11,232,,152,0,152,
,,,,16,0,16,,19,0,19,,92,8,100,
,,,,260,12,272,,63,0,63,,114,5,119,
,,,,472,6,478,,301,3,304,,88,0,88,
,,,,37,0,37,,270,11,281,,17,0,17,
,,,,55,0,55,,303,1,304,,103,3,106,
,,,,,,,,130,4,134,,11,0,11,
,,,,,,,,306,1,307,,190,7,197,
,,,,,,,,48,0,48,,209,0,209,
,,,,,,,,209,0,209,,46,0,46,
,,,,,,,,26,0,26,,89,8,97,
,,,,,,,,49,1,50,,82,0,82,
,,,,,,,,276,2,278,,3,0,3,
,,,,,,,,68,1,69,,78,0,78,
,,,,,,,,94,1,95,,27,0,27,
,,,,,,,,122,5,127,,189,3,192,
,,,,,,,,,,,,12,0,12,
,,,,,,,,,,,,177,0,177,
,,,,,,,,,,,,36,0,36,
,,,,,,,,,,,,21,0,21,
,,,,,,,,,,,,16,0,16,
,,,,,,,,,,,,6,0,6,
,,,,,,,,,,,,41,1,42,
,,,,,,,,,,,,23,0,23,
,,,,,,,,,,,,196,0,196,
,,,,,,,,,,,,2,0,2,
,,,,,,,,,,,,258,2,260,
,,,,,,,,,,,,52,6,58,
,,,,,,,,,,,,230,0,230,
,,,,,,,,,,,,10,0,10,
,,,,,,,,,,,,136,7,143,
,,,,,,,,,,,,16,0,16,
,,,,,,,,,,,,29,0,29,
,,,,,,,,,,,,198,3,201,
,,,,,,,,,,,,25,0,25,
,,,,,,,,,,,,4,0,4,